y,v,y_next,v_next
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
6.4961,0.0000,6.4804,-0.3920
6.4804,-0.3920,6.4491,-0.7840
6.4491,-0.7840,6.4020,-1.1760
6.4020,-1.1760,6.3393,-1.5680
6.3393,-1.5680,6.2609,-1.9600
6.2609,-1.9600,6.1668,-2.3520
6.1668,-2.3520,6.0571,-2.7440
6.0571,-2.7440,5.9316,-3.1360
5.9316,-3.1360,5.7905,-3.5280
5.7905,-3.5280,5.6337,-3.9200
5.6337,-3.9200,5.4612,-4.3120
5.4612,-4.3120,5.2731,-4.7040
5.2731,-4.7040,5.0692,-5.0960
5.0692,-5.0960,4.8497,-5.4880
4.8497,-5.4880,4.6145,-5.8800
4.6145,-5.8800,4.3636,-6.2720
4.3636,-6.2720,4.0971,-6.6640
4.0971,-6.6640,3.8148,-7.0560
3.8148,-7.0560,3.5169,-7.4480
3.5169,-7.4480,3.2033,-7.8400
3.2033,-7.8400,2.8740,-8.2320
2.8740,-8.2320,2.5291,-8.6240
2.5291,-8.6240,2.1684,-9.0160
2.1684,-9.0160,1.7921,-9.4080
1.7921,-9.4080,1.4001,-9.8000
1.4001,-9.8000,0.9924,-10.1920
0.9924,-10.1920,0.5691,-10.5840
0.5691,-10.5840,0.5000,6.5856
0.5000,6.5856,0.7477,6.1936
0.7477,6.1936,0.9798,5.8016
0.9798,5.8016,1.1962,5.4096
1.1962,5.4096,1.3969,5.0176
1.3969,5.0176,1.5819,4.6256
1.5819,4.6256,1.7513,4.2336
1.7513,4.2336,1.9049,3.8416
1.9049,3.8416,2.0429,3.4496
2.0429,3.4496,2.1652,3.0576
2.1652,3.0576,2.2718,2.6656
2.2718,2.6656,2.3628,2.2736
2.3628,2.2736,2.4380,1.8816
2.4380,1.8816,2.4976,1.4896
2.4976,1.4896,2.5415,1.0976
2.5415,1.0976,2.5698,0.7056
2.5698,0.7056,2.5823,0.3136
2.5823,0.3136,2.5792,-0.0784
2.5792,-0.0784,2.5604,-0.4704
2.5604,-0.4704,2.5259,-0.8624
2.5259,-0.8624,2.4757,-1.2544
2.4757,-1.2544,2.4098,-1.6464
2.4098,-1.6464,2.3283,-2.0384
2.3283,-2.0384,2.2311,-2.4304
2.2311,-2.4304,2.1182,-2.8224
2.1182,-2.8224,1.9896,-3.2144
1.9896,-3.2144,1.8453,-3.6064
1.8453,-3.6064,1.6854,-3.9984
1.6854,-3.9984,1.5098,-4.3904
1.5098,-4.3904,1.3185,-4.7824
1.3185,-4.7824,1.1115,-5.1744
1.1115,-5.1744,0.8889,-5.5664
0.8889,-5.5664,0.6505,-5.9584
0.6505,-5.9584,0.5000,3.8102
0.5000,3.8102,0.6367,3.4182
0.6367,3.4182,0.7578,3.0262
0.7578,3.0262,0.8631,2.6342
0.8631,2.6342,0.9528,2.2422
0.9528,2.2422,1.0268,1.8502
1.0268,1.8502,1.0852,1.4582
1.0852,1.4582,1.1278,1.0662
1.1278,1.0662,1.1548,0.6742
1.1548,0.6742,1.1661,0.2822
1.1661,0.2822,1.1617,-0.1098
1.1617,-0.1098,1.1416,-0.5018
1.1416,-0.5018,1.1059,-0.8938
1.1059,-0.8938,1.0544,-1.2858
1.0544,-1.2858,0.9873,-1.6778
0.9873,-1.6778,0.9045,-2.0698
0.9045,-2.0698,0.8061,-2.4618
0.8061,-2.4618,0.6919,-2.8538
0.6919,-2.8538,0.5621,-3.2458
0.5621,-3.2458,0.5000,2.1827
0.5000,2.1827,0.5716,1.7907
0.5716,1.7907,0.6276,1.3987
0.6276,1.3987,0.6678,1.0067
0.6678,1.0067,0.6924,0.6147
0.6924,0.6147,0.7013,0.2227
0.7013,0.2227,0.6946,-0.1693
