y,v,y_next,v_next
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
4.2411,0.0000,4.2254,-0.3920
4.2254,-0.3920,4.1941,-0.7840
4.1941,-0.7840,4.1470,-1.1760
4.1470,-1.1760,4.0843,-1.5680
4.0843,-1.5680,4.0059,-1.9600
4.0059,-1.9600,3.9118,-2.3520
3.9118,-2.3520,3.8021,-2.7440
3.8021,-2.7440,3.6766,-3.1360
3.6766,-3.1360,3.5355,-3.5280
3.5355,-3.5280,3.3787,-3.9200
3.3787,-3.9200,3.2062,-4.3120
3.2062,-4.3120,3.0181,-4.7040
3.0181,-4.7040,2.8142,-5.0960
2.8142,-5.0960,2.5947,-5.4880
2.5947,-5.4880,2.3595,-5.8800
2.3595,-5.8800,2.1086,-6.2720
2.1086,-6.2720,1.8421,-6.6640
1.8421,-6.6640,1.5598,-7.0560
1.5598,-7.0560,1.2619,-7.4480
1.2619,-7.4480,0.9483,-7.8400
0.9483,-7.8400,0.6190,-8.2320
0.6190,-8.2320,0.5000,5.1744
0.5000,5.1744,0.6913,4.7824
0.6913,4.7824,0.8669,4.3904
0.8669,4.3904,1.0268,3.9984
1.0268,3.9984,1.1711,3.6064
1.1711,3.6064,1.2997,3.2144
1.2997,3.2144,1.4126,2.8224
1.4126,2.8224,1.5098,2.4304
1.5098,2.4304,1.5913,2.0384
1.5913,2.0384,1.6572,1.6464
1.6572,1.6464,1.7074,1.2544
1.7074,1.2544,1.7419,0.8624
1.7419,0.8624,1.7607,0.4704
1.7607,0.4704,1.7638,0.0784
1.7638,0.0784,1.7513,-0.3136
1.7513,-0.3136,1.7230,-0.7056
1.7230,-0.7056,1.6791,-1.0976
1.6791,-1.0976,1.6196,-1.4896
1.6196,-1.4896,1.5443,-1.8816
1.5443,-1.8816,1.4533,-2.2736
1.4533,-2.2736,1.3467,-2.6656
1.3467,-2.6656,1.2244,-3.0576
1.2244,-3.0576,1.0864,-3.4496
1.0864,-3.4496,0.9328,-3.8416
0.9328,-3.8416,0.7634,-4.2336
0.7634,-4.2336,0.5784,-4.6256
0.5784,-4.6256,0.5000,3.0106
0.5000,3.0106,0.6047,2.6186
0.6047,2.6186,0.6938,2.2266
0.6938,2.2266,0.7672,1.8346
0.7672,1.8346,0.8249,1.4426
0.8249,1.4426,0.8669,1.0506
0.8669,1.0506,0.8933,0.6586
0.8933,0.6586,0.9039,0.2666
0.9039,0.2666,0.8989,-0.1254
0.8989,-0.1254,0.8782,-0.5174
0.8782,-0.5174,0.8418,-0.9094
0.8418,-0.9094,0.7898,-1.3014
0.7898,-1.3014,0.7220,-1.6934
0.7220,-1.6934,0.6386,-2.0854
0.6386,-2.0854,0.5395,-2.4774
0.5395,-2.4774,0.5000,1.7217
0.5000,1.7217,0.5532,1.3297
0.5532,1.3297,0.5907,0.9377
0.5907,0.9377,0.6125,0.5457
0.6125,0.5457,0.6187,0.1537
0.6187,0.1537,0.6091,-0.2383
0.6091,-0.2383,0.5839,-0.6303
0.5839,-0.6303,0.5430,-1.0223
0.5430,-1.0223,0.5000,0.8486
0.5000,0.8486,0.5183,0.4566
0.5183,0.4566,0.5208,0.0646
0.5208,0.0646,0.5078,-0.3274
0.5078,-0.3274,0.5000,0.4316
